,type,latitud,longitud
0,Palo Alto Airport (PAO) (Palo Alto Airport),37.45428392462384,-122.113938331604
1,Centurion Flight Services,37.46719453131943,-122.13934421539305
2,Max G Aviation,37.451547,-122.112902
3,SFO Approach,37.453091,-122.128449
4,Advantage Aviation Maintenance,37.453878,-122.11424099999999
5,Austro Air Craft,37.453968796198915,-122.11579442024231
6,A Palo Alto Limousine,37.4305,-122.126
7,Palo Alto Airport Terminal,37.45493252866052,-122.1105131367618
8,American Airlines,37.44831542221728,-122.15556185692549
9,yellow cab apex,37.45361959828536,-122.18283891677856
10,American Airlines,37.42473273268262,-122.12400332093239
11,Menlo Park Pro Electric Gate Repair & Security Automatic Front Gate Installation Co,37.45112406330106,-122.18689441680908
12,Green taxi Palo Alto,37.41841890159608,-122.11151897907257
13,Frontier Airlines,37.41481441115447,-122.13082283735275
14,Same Day Delivery,37.444237,-122.161203
15,Best Airport Yellow Cab Co.,37.46714,-122.14434
