,city,country_code,latitud,longitud,type
0,Seattle,USA,47.603122,-122.333253,empresa
1,New York,USA,40.7237306,-73.9964312,empresa
2,West Hollywood,USA,34.090368,-118.393064,empresa
3,Menlo Park,USA,37.48413,-122.169472,empresa
4,San Francisco,USA,37.775196,-122.419204,empresa
6,Palo Alto,USA,37.451151,-122.154369,empresa
7,San Diego,USA,33.022176,-117.081406,empresa
8,San Francisco,USA,37.764726,-122.394523,empresa
9,New York City,USA,40.757929,-73.985506,empresa
10,San Francisco,USA,37.789634,-122.404052,empresa
11,New York,USA,40.7464969,-74.0094471,empresa
13,Sunnyvale,USA,37.387845,-122.055197,empresa
14,San Francisco,USA,37.778613,-122.395289,empresa
16,Vienna,USA,38.926172,-77.245195,empresa
17,New York,USA,40.724604,-73.996876,empresa
18,Culver City,USA,34.0263021,-118.380954,empresa
21,Troy,USA,42.557958,-83.167884,empresa
22,San Francisco,USA,37.779558,-122.393041,empresa
23,Culver City,USA,34.017606,-118.487267,empresa
24,San Diego,USA,32.902266,-117.20834,empresa
25,San Francisco,USA,37.788482,-122.409173,empresa
26,Chicago,USA,41.885619,-87.622309,empresa
27,Austin,USA,30.268735,-97.745209,empresa
28,New York,USA,37.480999,-122.173887,empresa
29,Palo Alto,USA,37.437328,-122.159928,empresa
30,Sunnyvale,USA,37.384239,-122.012475,empresa
31,New York,USA,40.72604,-73.995722,empresa
32,San Francisco,USA,37.793148,-122.402567,empresa
33,Tempe,USA,33.429859,-111.938739,empresa
34,Pleasanton,USA,37.697805,-121.907768,empresa
35,San Jose,USA,37.295005,-121.930035,empresa
36,San Francisco,USA,37.78976,-122.402524,empresa
37,Pasadena,USA,34.1494713,-118.1327468,empresa
43,Mountain View,USA,37.4233896,-122.0899512,empresa
44,San Francisco,USA,37.392936,-122.07948,empresa
47,NYC,USA,40.801358,-74.3372,empresa
48,New York,USA,40.726155,-73.995625,empresa
49,New York,USA,40.722655,-73.99873,empresa
50,Fremont,USA,37.465645,-121.932202,empresa
51,Palo Alto,USA,37.44296,-122.151198,empresa
52,San Bruno,USA,37.627971,-122.426804,empresa
53,Seattle,USA,47.617682,-122.357242,empresa
57,SCHUYLER LAKE,USA,37.488336,-122.217964,empresa
58,San Francisco,USA,37.757758,-122.388243,empresa
59,Encino,USA,37.269175,-119.306607,empresa
60,San Francisco,USA,37.780716,-122.393913,empresa
61,Burlingame,USA,37.559287,-122.302262,empresa
62,Cambridge,USA,42.375392,-71.118487,empresa
63,San Francisco,USA,37.780134,-122.396744,empresa
65,San Jose,USA,37.408802,-121.95377,empresa
66,San Mateo,USA,37.421621,-122.137444,empresa
68,Burlingame,USA,37.590339,-122.341715,empresa
71,San Francisco,USA,37.7870842,-122.4038047,empresa
74,Seattle,USA,47.599925,-122.334264,empresa
76,Redwood City,USA,37.476479,-122.221717,empresa
78,Santa Clara,USA,37.374998,-121.977853,empresa
79,San Francisco,USA,37.786183,-122.402195,empresa
80,Seattle,USA,47.620982,-122.359397,empresa
81,New York,USA,40.7516611,-73.9843328,empresa
82,Venice,USA,33.991101,-118.468707,empresa
83,San Francisco,USA,37.7891086,-122.4016144,empresa
89,San Francisco,USA,37.789268,-122.395184,empresa
90,San Francisco,USA,37.758113,-122.414689,empresa
93,Sunnyvale,USA,37.418531,-122.025485,empresa
94,,USA,37.09024,-95.712891,empresa
95,Redwood City,USA,37.484619,-122.206893,empresa
96,San Francisco,USA,37.781427,-122.392144,empresa
97,Fairfax,USA,37.09024,-95.712891,empresa
98,San Francisco,USA,37.782103,-122.401116,empresa
99,Chicago,USA,41.889474,-87.628912,empresa
100,Redwood City,USA,37.5108541,-122.2013557,empresa
101,San Francisco,USA,37.762681,-122.400909,empresa
102,Mountain View,USA,37.391502,-122.073463,empresa
105,Middleton,USA,43.090756,-89.522805,empresa
106,San Francisco,USA,37.779026,-122.40184,empresa
107,San Francisco,USA,37.796396,-122.404869,empresa
108,Mountain View,USA,37.393679,-122.079017,empresa
113,Seattle,USA,47.618599,-122.358484,empresa
114,Berkeley,USA,37.870744,-122.269259,empresa
115,San Francisco,USA,37.779507,-122.39071,empresa
116,Palo Alto,USA,37.437328,-122.159928,empresa
117,Palo Alto,USA,37.443058,-122.161674,empresa
118,Seattle,USA,47.615313,-122.323408,empresa
119,Sunnyvale,USA,37.382162,-122.036301,empresa
120,Boston,USA,42.350571,-71.076869,empresa
121,Mountain View,USA,37.40047,-122.072981,empresa
123,Foster City,USA,37.561877,-122.325248,empresa
124,Los Altos,USA,37.425801,-122.143701,empresa
125,San Francisco,USA,37.775196,-122.419204,empresa
126,New York,USA,40.7143528,-74.0059731,empresa
127,Mountain View,USA,37.423258,-122.073635,empresa
128,Charlottesville,USA,38.030823,-78.48158,empresa
129,San Francisco,USA,37.775196,-122.419204,empresa
130,San Mateo,USA,37.553121,-122.301534,empresa
131,San Diego,USA,32.872081,-117.206292,empresa
133,Seattle,USA,47.603122,-122.333253,empresa
134,San Mateo,USA,37.563585,-122.324621,empresa
135,Palo Alto,USA,37.451958,-122.116026,empresa
136,Redwood City,USA,37.479952,-122.178557,empresa
137,Sunnyvale,USA,37.4219165,-122.0780632,empresa
138,San Francisco,USA,37.782263,-122.392142,empresa
139,Knoxville,USA,37.09024,-95.712891,empresa
140,San Francisco,USA,37.766909,-122.406676,empresa
141,San Francisco,USA,37.793703,-122.398479,empresa
143,Pittsburgh,USA,40.437985,-80.004195,empresa
144,Pleasanton,USA,37.6637279,-121.8731805,empresa
145,Reston,USA,38.9590083,-77.3592746,empresa
147,Palo Alto,USA,37.442949,-122.1615,empresa
148,Austin,USA,30.407545,-97.717667,empresa
149,San Francisco,USA,37.788668,-122.400558,empresa
150,Boston,USA,42.340889,-71.051931,empresa
151,New York,USA,40.739833,-73.993158,empresa
152,Los Angeles,USA,34.050887,-118.459995,empresa
153,San Francisco,USA,37.779558,-122.393041,empresa
155,San Francisco,USA,37.7753,-122.4186,empresa
156,Stamford,USA,41.038155,-73.558082,empresa
158,Montecito,USA,34.42071,-119.641821,empresa
159,Boston,USA,42.355672,-71.060864,empresa
160,San Mateo,USA,37.55909,-122.321836,empresa
162,San Francisco,USA,37.787683,-122.410943,empresa
164,Menlo Park,USA,37.451026,-122.18676,empresa
165,Mountain View,USA,37.419819,-122.090188,empresa
166,San Francisco,USA,37.787092,-122.399972,empresa
168,Mountain View,USA,37.421972,-122.084143,empresa
169,Ann Arbor,USA,42.280988,-83.748882,empresa
170,Atlanta,USA,33.781466,-84.387519,empresa
171,Austin,USA,30.351416,-97.751382,empresa
172,Boulder,USA,40.021416,-105.260931,empresa
173,Cambridge,USA,42.36305,-71.087478,empresa
174,Chicago,USA,41.889474,-87.628912,empresa
175,Coppell,USA,32.981465,-97.018196,empresa
176,Dallas,USA,32.809161,-96.807693,empresa
177,Denver,USA,39.62919,-104.898419,empresa
178,Birmingham,USA,42.547807,-83.215498,empresa
179,Irvine,USA,33.658331,-117.861817,empresa
181,New York,USA,40.74222,-74.004489,empresa
182,Tempe,USA,33.411898,-111.926263,empresa
183,Pittsburgh,USA,40.444528,-79.946269,empresa
184,San Francisco,USA,37.789803,-122.389757,empresa
185,Santa Monica,USA,34.019282,-118.494288,empresa
186,Seattle,USA,47.675326,-122.351397,empresa
187,Seattle,USA,47.649701,-122.350592,empresa
188,Washington,USA,38.901113,-77.027101,empresa
235,San Francisco,USA,37.792394,-122.402349,empresa
237,San Francisco,USA,37.775196,-122.419204,empresa
238,San Mateo,USA,37.536172,-122.327323,empresa
239,Sunnyvale,USA,37.386376,-121.991471,empresa
240,San Mateo,USA,37.4858654,-122.2262606,empresa
241,Seattle,USA,47.620716,-122.347533,empresa
242,Palo Alto,USA,37.408256,-122.154176,empresa
244,Culver City,USA,34.017506,-118.401579,empresa
245,Seattle,USA,47.5999337,-122.3276962,empresa
246,Berkeley,USA,37.872222,-122.268403,empresa
248,Columbia,USA,39.205649,-76.77514,empresa
249,New York,USA,40.753631,-73.995487,empresa
250,Cambridge,USA,42.359146,-71.056604,empresa
254,Seattle,USA,47.61968,-122.356756,empresa
256,Sunnyvale,USA,37.368594,-122.034021,empresa
257,,USA,37.09024,-95.712891,empresa
258,Mountain View,USA,37.386665,-122.084171,empresa
259,San Mateo,USA,37.553743,-122.300246,empresa
260,Redwood City,USA,37.524729,-122.258037,empresa
261,Campbell,USA,37.288974,-121.935688,empresa
263,Cambridge,USA,42.362993,-71.086596,empresa
270,New York,USA,40.797364,-73.97785,empresa
271,Waltham,USA,42.417268,-71.258466,empresa
274,San Jose,USA,37.294465,-121.927696,empresa
275,San Francisco,USA,37.78554,-122.396689,empresa
276,Seattle,USA,47.5923,-122.317295,empresa
277,Mountain View,USA,37.3927975,-122.0727749,empresa
278,San Francisco,USA,40.270666,-74.761403,empresa
280,San Diego,USA,32.877656,-117.210595,empresa
282,San Diego,USA,32.964294,-117.265191,empresa
283,New York,USA,40.740251,-73.990004,empresa
284,San Francisco,USA,51.500152,-0.126236,empresa
285,Los Angeles,USA,34.052187,-118.243425,empresa
286,Menlo Park,USA,37.491356,-122.228843,empresa
287,San Francisco,USA,37.437328,-122.159928,empresa
288,Carmel,USA,39.998641,-86.130347,empresa
291,San francisco,USA,38.0729365,-122.1879633,empresa
292,San Francisco,USA,37.767575,-122.411157,empresa
296,San Francisco,USA,37.7909427,-122.4084994,empresa
298,Redmond,USA,47.682233,-122.135521,empresa
299,San Francisco,USA,37.779507,-122.39071,empresa
303,San Francisco,USA,37.781557,-122.407959,empresa
304,San Francisco,USA,37.786942,-122.401245,empresa
305,San Mateo,USA,37.5646055,-122.3229235,empresa
307,San Francisco,USA,37.790998,-122.394668,empresa
308,Palo Alto,USA,40.010492,-105.276843,empresa
309,Burlingame,USA,39.762314,-104.982256,empresa
310,San Francisco,USA,37.7911148,-122.3954751,empresa
312,New York,USA,40.752957,-73.98546,empresa
313,Boston,USA,42.35892,-71.05781,empresa
316,San Francisco,USA,37.762125,-122.4147,empresa
317,San Francisco,USA,37.775196,-122.419204,empresa
318,New York,USA,40.751816,-73.971655,empresa
331,San Jose,USA,37.32052,-121.948399,empresa
332,Boulder,USA,40.010492,-105.276843,empresa
333,Palo Alto,USA,37.451637,-122.121932,empresa
334,San Francisco,USA,37.789488,-122.397593,empresa
335,New York,USA,40.71014,-74.010808,empresa
336,Palo Alto,USA,37.427235,-122.145783,empresa
337,Bellevue,USA,47.579208,-122.155668,empresa
338,Henderson,USA,36.032976,-115.064859,empresa
340,Santa Monica,USA,34.018275,-118.495025,empresa
341,Waltham,USA,42.38532,-71.207055,empresa
342,Cambridge,USA,42.372912,-71.118999,empresa
344,San Francisco,USA,37.09024,-95.712891,empresa
345,San Francisco,USA,37.782263,-122.392142,empresa
347,Seattle,USA,47.610332,-122.339859,empresa
350,Menlo Park,USA,37.48413,-122.169472,empresa
351,Austin,USA,30.268735,-97.745209,empresa
352,Andover,USA,42.675189,-71.1469,empresa
353,Denver,USA,39.755092,-104.988123,empresa
354,London,USA,37.09024,-95.712891,empresa
355,Belmont,USA,37.524422,-122.265869,empresa
356,Santa Monica,USA,34.017373,-118.453218,empresa
357,Fort Lauderdale,USA,26.207024,-80.157296,empresa
358,Marina Del Rey,USA,33.983543,-118.432526,empresa
359,San Francisco,USA,37.790964,-122.401128,empresa
361,New York,USA,40.753385,-73.98962,empresa
365,Santa Monica,USA,34.145946,-118.132351,empresa
366,Germantown,USA,39.2009241,-77.2630048,empresa
367,San Francisco,USA,37.710677,-122.39323,empresa
369,Mountain View,USA,37.40047,-122.072981,empresa
375,San Francisco,USA,37.766909,-122.406676,empresa
377,New York,USA,37.09024,-95.712891,empresa
378,Emeryville,USA,37.836957,-122.286493,empresa
379,Andover,USA,42.656621,-71.140538,empresa
382,Menlo Park,USA,37.48413,-122.169472,empresa
383,San Francisco,USA,37.785647,-122.405265,empresa
384,Cambridge,USA,42.358822,-71.104329,empresa
385,Boston,USA,42.350274,-71.058768,empresa
388,Fort Mill,USA,35.22806,-80.856178,empresa
390,Kansas City,USA,39.044694,-94.597896,empresa
391,New York,USA,40.748901,-73.992463,empresa
392,San Francisco,USA,37.78866,-122.401406,empresa
393,Fort Myers,USA,26.580095,-81.879069,empresa
399,Morrisville,USA,35.854483,-78.815635,empresa
400,Seattle,USA,47.620716,-122.347533,empresa
401,Waltham,USA,42.3729,-71.248472,empresa
403,New York,USA,40.7445343,-73.9874008,empresa
404,New York,USA,40.757929,-73.985506,empresa
405,New York,USA,40.757929,-73.985506,empresa
406,New York,USA,40.725435,-73.997395,empresa
407,San Mateo,USA,37.553743,-122.300246,empresa
408,Santa Monica,USA,34.0184659,-118.49863,empresa
409,,USA,37.09024,-95.712891,empresa
411,Palo Alto,USA,37.433414,-122.128772,empresa
412,New York,USA,40.707921,-74.004792,empresa
414,Seattle,USA,47.5999337,-122.3276962,empresa
415,Lexington,USA,42.47218,-71.262508,empresa
416,Austin,USA,30.386601,-97.753739,empresa
418,Palo Alto,USA,37.42746,-122.143915,empresa
419,New York,USA,40.643438,-73.886452,empresa
420,San Francisco,USA,37.781265,-122.393229,empresa
421,New York,USA,40.723384,-74.001704,empresa
423,Santa Clara,USA,37.387114,-121.973228,empresa
424,New York,USA,40.74406,-74.004592,empresa
425,Mountain View,USA,37.40047,-122.072981,empresa
426,Mountain View,USA,37.386665,-122.084171,empresa
434,Cupertino,USA,37.322806,-122.030201,empresa
435,San Francisco,USA,37.779624,-122.391236,empresa
436,New York,USA,40.775537,-73.981709,empresa
437,Mountain View,USA,37.563585,-122.324621,empresa
438,San Mateo,USA,37.453687,-122.228595,empresa
442,Los Angeles,USA,34.031276,-118.456806,empresa
445,San Francisco,USA,37.7749295,-122.4194155,empresa
447,New York,USA,40.757929,-73.985506,empresa
448,McLean,USA,38.003376,-79.420926,empresa
450,Pleasant Grove,USA,40.357978,-111.777531,empresa
451,Los Altos,USA,33.8171,-111.9035,empresa
452,San Francisco,USA,37.764169,-122.402021,empresa
458,Redwood City,USA,37.446668,-122.156579,empresa
462,Palo Alto,USA,37.445714,-122.161247,empresa
465,Seattle,USA,47.6015315,-122.335943,empresa
466,Santa Monica,USA,34.01052,-118.495981,empresa
468,Los Angeles,USA,33.959799,-118.343938,empresa
469,Boise,USA,43.61295,-116.205637,empresa
470,Chicago,USA,41.890376,-87.63406,empresa
471,Bellevue,USA,47.617842,-122.20052,empresa
472,Seattle,USA,47.6104101,-122.3396627,empresa
473,Needham,USA,42.296111,-71.238524,empresa
474,Santa Monica,USA,34.01533,-118.493592,empresa
475,West Palm Beach,USA,43.67084,-83.913153,empresa
477,Sunnyvale,USA,37.368594,-122.034021,empresa
478,Cambridge,USA,42.375392,-71.118487,empresa
479,Boulder,USA,40.01621,-105.28131,empresa
480,Boston,USA,42.375219,-71.056101,empresa
481,New York,USA,40.7413559,-73.9912208,empresa
488,Berwyn,USA,40.063476,-75.457492,empresa
491,Menlo Park,USA,37.451124,-122.166264,empresa
492,New York,USA,40.72948,-74.000195,empresa
494,San Mateo,USA,37.557637,-122.285714,empresa
495,Cambridge,USA,42.375392,-71.118487,empresa
497,Los Angeles,USA,34.064491,-118.42749,empresa
498,Solana Beach,USA,33.020832,-117.077311,empresa
500,San Francisco,USA,37.768708,-122.402866,empresa
501,Livermore,USA,37.661237,-121.803572,empresa
502,San Mateo,USA,37.559287,-122.302262,empresa
503,San Mateo,USA,37.566879,-122.323895,empresa
506,Marina del Rey,USA,33.977854,-118.445271,empresa
507,San Francisco,USA,37.789634,-122.404052,empresa
510,Mountain View,USA,37.418491,-122.08744,empresa
512,Cambridge,USA,42.364367,-71.078978,empresa
515,New York,USA,40.756799,-73.976348,empresa
